species,bill_length_mm,flipper_length_mm
Adelie,39.1,181
Adelie,39.5,186
Adelie,40.3,195
Adelie,36.7,193
Adelie,39.3,190
Adelie,38.9,181
Adelie,39.2,195
Adelie,34.1,193
Adelie,42,190
Adelie,37.8,186
Adelie,37.8,180
Adelie,41.1,182
Adelie,38.6,191
Adelie,34.6,198
Adelie,36.6,185
Adelie,38.7,195
Adelie,42.5,197
Adelie,34.4,184
Adelie,46,194
Adelie,37.8,174
Adelie,37.7,180
Adelie,35.9,189
Adelie,38.2,185
Adelie,38.8,180
Adelie,35.3,187
Adelie,40.6,183
Adelie,40.5,187
Adelie,37.9,172
Adelie,40.5,180
Adelie,39.5,178
Adelie,37.2,178
Adelie,39.5,188
Adelie,40.9,184
Adelie,36.4,195
Adelie,39.2,196
Adelie,38.8,190
Adelie,42.2,180
Adelie,37.6,181
Adelie,39.8,184
Adelie,36.5,182
Adelie,40.8,195
Adelie,36,186
Adelie,44.1,196
Adelie,37,185
Adelie,39.6,190
Adelie,41.1,182
Adelie,37.5,179
Adelie,36,190
Adelie,42.3,191
Adelie,39.6,186
Adelie,40.1,188
Adelie,35,190
Adelie,42,200
Adelie,34.5,187
Adelie,41.4,191
Adelie,39,186
Adelie,40.6,193
Adelie,36.5,181
Adelie,37.6,194
Adelie,35.7,185
Adelie,41.3,195
Adelie,37.6,185
Adelie,41.1,192
Adelie,36.4,184
Adelie,41.6,192
Adelie,35.5,195
Adelie,41.1,188
Adelie,35.9,190
Adelie,41.8,198
Adelie,33.5,190
Adelie,39.7,190
Adelie,39.6,196
Adelie,45.8,197
Adelie,35.5,190
Adelie,42.8,195
Adelie,40.9,191
Adelie,37.2,184
Adelie,36.2,187
Adelie,42.1,195
Adelie,34.6,189
Adelie,42.9,196
Adelie,36.7,187
Adelie,35.1,193
Adelie,37.3,191
Adelie,41.3,194
Adelie,36.3,190
Adelie,36.9,189
Adelie,38.3,189
Adelie,38.9,190
Adelie,35.7,202
Adelie,41.1,205
Adelie,34,185
Adelie,39.6,186
Adelie,36.2,187
Adelie,40.8,208
Adelie,38.1,190
Adelie,40.3,196
Adelie,33.1,178
Adelie,43.2,192
Adelie,35,192
Adelie,41,203
Adelie,37.7,183
Adelie,37.8,190
Adelie,37.9,193
Adelie,39.7,184
Adelie,38.6,199
Adelie,38.2,190
Adelie,38.1,181
Adelie,43.2,197
Adelie,38.1,198
Adelie,45.6,191
Adelie,39.7,193
Adelie,42.2,197
Adelie,39.6,191
Adelie,42.7,196
Adelie,38.6,188
Adelie,37.3,199
Adelie,35.7,189
Adelie,41.1,189
Adelie,36.2,187
Adelie,37.7,198
Adelie,40.2,176
Adelie,41.4,202
Adelie,35.2,186
Adelie,40.6,199
Adelie,38.8,191
Adelie,41.5,195
Adelie,39,191
Adelie,44.1,210
Adelie,38.5,190
Adelie,43.1,197
Adelie,36.8,193
Adelie,37.5,199
Adelie,38.1,187
Adelie,41.1,190
Adelie,35.6,191
Adelie,40.2,200
Adelie,37,185
Adelie,39.7,193
Adelie,40.2,193
Adelie,40.6,187
Adelie,32.1,188
Adelie,40.7,190
Adelie,37.3,192
Adelie,39,185
Adelie,39.2,190
Adelie,36.6,184
Adelie,36,195
Adelie,37.8,193
Adelie,36,187
Adelie,41.5,201
Gentoo,46.1,211
Gentoo,50,230
Gentoo,48.7,210
Gentoo,50,218
Gentoo,47.6,215
Gentoo,46.5,210
Gentoo,45.4,211
Gentoo,46.7,219
Gentoo,43.3,209
Gentoo,46.8,215
Gentoo,40.9,214
Gentoo,49,216
Gentoo,45.5,214
Gentoo,48.4,213
Gentoo,45.8,210
Gentoo,49.3,217
Gentoo,42,210
Gentoo,49.2,221
Gentoo,46.2,209
Gentoo,48.7,222
Gentoo,50.2,218
Gentoo,45.1,215
Gentoo,46.5,213
Gentoo,46.3,215
Gentoo,42.9,215
Gentoo,46.1,215
Gentoo,44.5,216
Gentoo,47.8,215
Gentoo,48.2,210
Gentoo,50,220
Gentoo,47.3,222
Gentoo,42.8,209
Gentoo,45.1,207
Gentoo,59.6,230
Gentoo,49.1,220
Gentoo,48.4,220
Gentoo,42.6,213
Gentoo,44.4,219
Gentoo,44,208
Gentoo,48.7,208
Gentoo,42.7,208
Gentoo,49.6,225
Gentoo,45.3,210
Gentoo,49.6,216
Gentoo,50.5,222
Gentoo,43.6,217
Gentoo,45.5,210
Gentoo,50.5,225
Gentoo,44.9,213
Gentoo,45.2,215
Gentoo,46.6,210
Gentoo,48.5,220
Gentoo,45.1,210
Gentoo,50.1,225
Gentoo,46.5,217
Gentoo,45,220
Gentoo,43.8,208
Gentoo,45.5,220
Gentoo,43.2,208
Gentoo,50.4,224
Gentoo,45.3,208
Gentoo,46.2,221
Gentoo,45.7,214
Gentoo,54.3,231
Gentoo,45.8,219
Gentoo,49.8,230
Gentoo,46.2,214
Gentoo,49.5,229
Gentoo,43.5,220
Gentoo,50.7,223
Gentoo,47.7,216
Gentoo,46.4,221
Gentoo,48.2,221
Gentoo,46.5,217
Gentoo,46.4,216
Gentoo,48.6,230
Gentoo,47.5,209
Gentoo,51.1,220
Gentoo,45.2,215
Gentoo,45.2,223
Gentoo,49.1,212
Gentoo,52.5,221
Gentoo,47.4,212
Gentoo,50,224
Gentoo,44.9,212
Gentoo,50.8,228
Gentoo,43.4,218
Gentoo,51.3,218
Gentoo,47.5,212
Gentoo,52.1,230
Gentoo,47.5,218
Gentoo,52.2,228
Gentoo,45.5,212
Gentoo,49.5,224
Gentoo,44.5,214
Gentoo,50.8,226
Gentoo,49.4,216
Gentoo,46.9,222
Gentoo,48.4,203
Gentoo,51.1,225
Gentoo,48.5,219
Gentoo,55.9,228
Gentoo,47.2,215
Gentoo,49.1,228
Gentoo,47.3,216
Gentoo,46.8,215
Gentoo,41.7,210
Gentoo,53.4,219
Gentoo,43.3,208
Gentoo,48.1,209
Gentoo,50.5,216
Gentoo,49.8,229
Gentoo,43.5,213
Gentoo,51.5,230
Gentoo,46.2,217
Gentoo,55.1,230
Gentoo,44.5,217
Gentoo,48.8,222
Gentoo,47.2,214
Gentoo,46.8,215
Gentoo,50.4,222
Gentoo,45.2,212
Gentoo,49.9,213
Chinstrap,46.5,192
Chinstrap,50,196
Chinstrap,51.3,193
Chinstrap,45.4,188
Chinstrap,52.7,197
Chinstrap,45.2,198
Chinstrap,46.1,178
Chinstrap,51.3,197
Chinstrap,46,195
Chinstrap,51.3,198
Chinstrap,46.6,193
Chinstrap,51.7,194
Chinstrap,47,185
Chinstrap,52,201
Chinstrap,45.9,190
Chinstrap,50.5,201
Chinstrap,50.3,197
Chinstrap,58,181
Chinstrap,46.4,190
Chinstrap,49.2,195
Chinstrap,42.4,181
Chinstrap,48.5,191
Chinstrap,43.2,187
Chinstrap,50.6,193
Chinstrap,46.7,195
Chinstrap,52,197
Chinstrap,50.5,200
Chinstrap,49.5,200
Chinstrap,46.4,191
Chinstrap,52.8,205
Chinstrap,40.9,187
Chinstrap,54.2,201
Chinstrap,42.5,187
Chinstrap,51,203
Chinstrap,49.7,195
Chinstrap,47.5,199
Chinstrap,47.6,195
Chinstrap,52,210
Chinstrap,46.9,192
Chinstrap,53.5,205
Chinstrap,49,210
Chinstrap,46.2,187
Chinstrap,50.9,196
Chinstrap,45.5,196
Chinstrap,50.9,196
Chinstrap,50.8,201
Chinstrap,50.1,190
Chinstrap,49,212
Chinstrap,51.5,187
Chinstrap,49.8,198
Chinstrap,48.1,199
Chinstrap,51.4,201
Chinstrap,45.7,193
Chinstrap,50.7,203
Chinstrap,42.5,187
Chinstrap,52.2,197
Chinstrap,45.2,191
Chinstrap,49.3,203
Chinstrap,50.2,202
Chinstrap,45.6,194
Chinstrap,51.9,206
Chinstrap,46.8,189
Chinstrap,45.7,195
Chinstrap,55.8,207
Chinstrap,43.5,202
Chinstrap,49.6,193
Chinstrap,50.8,210
Chinstrap,50.2,198
